행정동코드,유휴공간수,문화시설수,복지시설수,상권수,총인구,청년인구,노인인구,평균생활인구,평균청년생활인구,평균노인생활인구
1123072000,0,0,1,5,16660.0,7093.0,3502.0,15247.405806451625,5268.104012096779,3156.6539180107543
1123073000,0,1,0,1,23607.0,8622.0,6110.0,24135.073024193527,7819.653669354836,5285.474106182797
1123074000,1,2,2,3,24539.0,9948.0,4905.0,30581.938965053738,10823.919314516139,6277.457466397851
1123075000,0,1,1,1,18061.0,4588.0,5712.0,18183.567715053763,3835.0679637096755,4665.432459677423
1126052000,0,0,1,4,22978.0,5882.0,7947.0,26259.573958333338,5623.490181451615,7633.935766129035
1126054000,0,1,1,1,17509.0,4361.0,5915.0,17260.514959677424,3423.831176075272,4755.7152016129
1126055000,0,0,0,2,14058.0,3520.0,3958.0,13074.738279569909,2629.4877016129035,3490.977130376344
1126056500,0,1,1,5,31605.0,9513.0,10203.0,35145.824032258075,7900.762096774195,9755.611612903234
1126057000,0,1,1,3,20530.0,5584.0,7031.0,20698.79448924729,4063.046216397847,5651.897647849473
1126057500,0,0,2,6,23476.0,6387.0,8249.0,25106.426579301075,5400.578736559133,6838.549952956981
1126058000,0,0,0,3,22807.0,6164.0,6904.0,19886.950920698888,4392.584630376343,5137.272856182793
1126059000,0,2,2,5,21225.0,9477.0,5141.0,25860.822930107544,7986.241915322584,6012.200544354848
1126060000,0,0,2,2,17881.0,4935.0,6029.0,17792.07803091395,3797.9748454301107,4480.401377688169
1126061000,0,0,0,10,25489.0,7285.0,8713.0,24395.643447580638,4988.752103494632,6645.468521505372
1126062000,0,2,1,4,32991.0,8822.0,9592.0,31824.759892473103,6954.922217741924,8119.606780913971
1126063000,0,0,0,2,17626.0,4812.0,5861.0,21225.3195698925,4634.151586021514,5930.428891129033
1126065500,0,1,4,4,37916.0,10496.0,11418.0,43263.22067204294,9421.220188172025,10920.305826612883
1126066000,0,1,0,3,15196.0,3652.0,5721.0,11202.354495967757,2114.317620967741,3469.908709677422
1126068000,1,0,1,6,36607.0,8272.0,11711.0,40128.64330645161,8063.150866935489,10716.539314516132
1126069000,0,1,2,1,19022.0,4614.0,6522.0,16335.091525537626,3235.1791061827957,4103.08168010752
1129052500,0,10,0,7,15470.0,4853.0,4478.0,20879.525329301076,5294.013991935487,5358.403427419356
1129055500,0,3,1,5,21619.0,7046.0,5946.0,26314.917903225818,7438.576243279562,6545.640154569905
1129057500,0,2,0,4,14743.0,7040.0,3068.0,21068.464670698933,8736.211337365594,3925.426626344087
1129058000,0,1,0,0,13729.0,3501.0,4533.0,12707.30219086023,2658.0313978494596,3403.0235215053794
1129059000,0,6,0,0,22878.0,5212.0,5884.0,10543.819112903213,2171.949227150537,2703.0768481182777
1129060000,1,1,0,7,15447.0,7988.0,3141.0,23692.601854838747,10313.791370967734,4592.783393817196
1129061000,0,1,1,1,15748.0,5140.0,4017.0,17610.23321236558,4618.2437768817235,4560.206317204299
